id,kode_provinsi,nama_provinsi,persentase_penduduk_miskin,satuan,tahun,id_gini,kode_provinsi_gini,semester,gini_ratio,satuan_gini,id_tpt,kode_provinsi_tpt,daerah,tingkat_penganggur_terbuka,satuan_tpt,id_ipm,kode_provinsi_ipm,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,indeks_pembangunan_manusia,satuan_ipm,kemiskinan_tahun_depan,rata_rata_inflasi_tahunan
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,39,32,3272,KOTA SUKABUMI,LAKI-LAKI,78.65,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,40,32,3272,KOTA SUKABUMI,PEREMPUAN,71.63,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,41,32,3273,KOTA BANDUNG,LAKI-LAKI,84.32,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,42,32,3273,KOTA BANDUNG,PEREMPUAN,80.2,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,43,32,3274,KOTA CIREBON,LAKI-LAKI,77.95,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,44,32,3274,KOTA CIREBON,PEREMPUAN,73.23,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,45,32,3275,KOTA BEKASI,LAKI-LAKI,85.56,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,46,32,3275,KOTA BEKASI,PEREMPUAN,79.79,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,47,32,3276,KOTA DEPOK,LAKI-LAKI,84.53,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,48,32,3276,KOTA DEPOK,PEREMPUAN,78.66,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,49,32,3277,KOTA CIMAHI,LAKI-LAKI,81.5,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,50,32,3277,KOTA CIMAHI,PEREMPUAN,75.27,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,51,32,3278,KOTA TASIKMALAYA,LAKI-LAKI,75.48,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,52,32,3278,KOTA TASIKMALAYA,PEREMPUAN,68.74,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,53,32,3279,KOTA BANJAR,LAKI-LAKI,76.12,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,54,32,3279,KOTA BANJAR,PEREMPUAN,66.31,POIN,7.45,"18,575"
